id	path	symbol	line	file_sha256
E02	v2/driver-cell/src/driver.ts	start	124	77598ca25c7dd9374e21f9fd5275e43989a7305a2b05fd098210db8630f062e6
E02	v2/driver-cell/src/driver.ts	finishProvision	431	77598ca25c7dd9374e21f9fd5275e43989a7305a2b05fd098210db8630f062e6
E03	v2/driver-cell/src/gitImage.ts	tryMaterializeGitImage	244	9b7b1dc8a762caaac402d108bbd9286630a1376b4844ea8d2d3c6232d0a19007
E03	v2/driver-cell/src/gitImage.ts	configureFreshCellGit	176	9b7b1dc8a762caaac402d108bbd9286630a1376b4844ea8d2d3c6232d0a19007
E04	v2/driver-cell/src/gitImage.ts	refreshGitImage	488	9b7b1dc8a762caaac402d108bbd9286630a1376b4844ea8d2d3c6232d0a19007
E04	v2/driver-cell/src/gitImage.ts	packRevision	342	9b7b1dc8a762caaac402d108bbd9286630a1376b4844ea8d2d3c6232d0a19007
E04	v2/driver-cell/src/gitImage.ts	validatePackedImage	449	9b7b1dc8a762caaac402d108bbd9286630a1376b4844ea8d2d3c6232d0a19007
E05	v2/driver-cell/src/provision.ts	materializeProvisionGitImage	110	8293821e57266a0b4f7a2e0e6d25c584cac6caf1ac0afad207311af57558be66
E05	v2/driver-cell/src/provision.ts	runProvisionOperation	305	8293821e57266a0b4f7a2e0e6d25c584cac6caf1ac0afad207311af57558be66
E05	v2/driver-cell/src/cow.ts	probeCow	45	24eb5ce7b6536de861ca261a5d80096343115e14bc8a23e354a2e8a74f318b10
E05	v2/driver-cell/src/cow.ts	cowCopy	34	24eb5ce7b6536de861ca261a5d80096343115e14bc8a23e354a2e8a74f318b10
E06	v2/driver-cell/src/provision.ts	runProvisionOperation	305	8293821e57266a0b4f7a2e0e6d25c584cac6caf1ac0afad207311af57558be66
E07	v2/driver-cell/src/provision.ts	runProvisionOperation	305	8293821e57266a0b4f7a2e0e6d25c584cac6caf1ac0afad207311af57558be66
